artist_name,artist_genre
Billy Joel,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
Bryan Adams,"canadian pop, canadian singer-songwriter, classic canadian rock, heartland rock, mellow gold, soft rock"
Damien Rice,"acoustic pop, irish rock, irish singer-songwriter, neo mellow, singer-songwriter"
Neil Young,"canadian singer-songwriter, classic canadian rock, classic rock, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter"
Artist Reaching Christ,hip hop
Aretha Franklin,"classic soul, jazz blues, memphis soul, soul, southern soul, vocal jazz"
John Legend,"neo soul, pop, pop soul, urban contemporary"
Foster The People,"indietronica, modern alternative rock, modern rock, rock"
Sublime,"rap rock, reggae fusion, ska mexicano, ska punk"
Deftones,"alternative metal, nu metal, rap metal, rock, sacramento indie"
Band of Horses,"chamber pop, indie folk, indie rock, indietronica, modern rock, seattle indie, stomp and holler"
The Flaming Lips,"alternative rock, chamber pop, indie rock, indietronica, noise pop, okc indie, singer-songwriter"
The National,"chamber pop, indie folk, indie rock, indietronica, modern rock"
Louis Armstrong,"adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz"
Prince Royce,"bachata, latin hip hop, latin pop, urbano latino"
Rick Ross,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap"
Tenacious D,"alternative metal, comedy rock, comic, comic metal, parody"
Avenged Sevenfold,alternative metal
Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
Blondie,"candy pop, new wave pop, permanent wave, power pop, rock, synthpop"
Journey,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
Justice,"alternative dance, dance-punk, electronica, filter house, indietronica, neo-synthpop, new rave"
Goldfrapp,"alternative dance, art pop, electronica, indietronica, neo-synthpop, trip hop"
Belle and Sebastian,"alternative rock, baroque pop, chamber pop, indie rock, melancholia, scottish indie, scottish rock, singer-songwriter, twee pop"
Travis Scott,"rap, slap house"
Ciara,"dance pop, hip pop, pop, r&b, urban contemporary"
Ray Charles,"adult standards, classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz"
The Cardigans,"lilith, new wave pop, permanent wave, pop rock, swedish pop"
The Script,"celtic rock, pop"
Passion Pit,"indie rock, indietronica, modern rock, neo-synthpop, shimmer pop"
Leona Lewis,"british soul, dance pop, pop, talent show"
Elliott Smith,"alternative rock, indie rock, melancholia, singer-songwriter"
Simple Plan,"canadian pop punk, canadian punk, canadian rock, modern rock, neon pop punk, pop punk, pop rock"
Paul McCartney,"classic rock, mellow gold, rock, soft rock"
Imagine Dragons,"modern rock, pop, rock"
Editors,"british indie rock, indie rock, modern rock, new rave"
ABBA,"europop, swedish pop"
Van Morrison,"classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock"
Scorpions,"album rock, german hard rock, german metal, german rock, hard rock, rock"
MIKA,electropop
Cat Power,"art pop, indie rock, melancholia, singer-songwriter, slowcore"
Tiësto,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance"
Jamiroquai,dance pop
José González,"chamber pop, gothenburg indie, indie folk, stomp and holler, swedish indie folk, swedish indie pop, swedish singer-songwriter"
CAKE,"alternative rock, pop rock, post-grunge, sacramento indie"
Justin Bieber,"canadian pop, pop"
Ella Fitzgerald,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
Fleet Foxes,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler"
Ed Sheeran,"pop, singer-songwriter pop, uk pop"
LCD Soundsystem,"alternative dance, alternative rock, art pop, dance rock, dance-punk, electronic rock, electronica, indie rock, indietronica, neo-synthpop, new rave"
PM Artist Sessions Project,hip hop
Sonic Youth,"alternative rock, noise pop, noise rock, rock, shoegaze"
Talking Heads,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo"
Stereophonics,"britpop, welsh rock"
Seether,"alternative metal, nu metal, post-grunge, south african rock"
Gnarls Barkley,"atl hip hop, neo soul"
Whitney Houston,"dance pop, pop"
Jeff Buckley,"melancholia, permanent wave, singer-songwriter"
Daryl Hall & John Oates,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
Duran Duran,"album rock, dance rock, new romantic, new wave, new wave pop, rock, soft rock, synthpop"
A Perfect Circle,"alternative metal, alternative rock, nu metal, rock, supergroup"
The Imaginary Jimi Hendrix Experience,hip hop
James Brown,"funk, motown, soul, vocal jazz"
Garbage,"alternative rock, dance rock, electronic rock, permanent wave"
Wolfgang Amadeus Mozart,"classical, classical era"
Lifehouse,"neo mellow, pop rock, post-grunge"
Lykke Li,"art pop, electropop, indietronica, neo-synthpop, swedish electropop, swedish indie pop, swedish pop"
Santana,"blues rock, classic rock, mexican classic rock"
J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
TOOL,"alternative metal, art rock, nu metal, post-grunge, progressive metal, progressive rock, rock"
Tyga,"hip hop, pop rap, rap, southern hip hop, trap"
Young Jeezy,hip hop
Pantera,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal"
Bloodhound Gang,"alternative metal, comic, funk metal, funk rock, nu metal, rap rock"
Jefferson Airplane,"acid rock, album rock, blues rock, classic rock, folk rock, hard rock, mellow gold, psychedelic rock, rock, singer-songwriter"
Avicii,"dance pop, edm, pop, pop dance"
Enrique Iglesias,"dance pop, latin pop, mexican pop"
Stone Temple Pilots,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock"
Motörhead,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
The Fratellis,"garage rock, modern rock, scottish rock"
Spoon,"alternative rock, austindie, indie rock, modern rock"
deadmau5,"canadian electronic, complextro, edm, electro house, pop dance, progressive house"
Stone Sour,"alternative metal, nu metal, post-grunge"
Johann Sebastian Bach,"baroque, classical, early music, german baroque"
Lou Reed,"classic rock, glam rock, permanent wave, rock, singer-songwriter"
Crystal Castles,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore"
Aphex Twin,"ambient, braindance, electronica, intelligent dance music, uk experimental electronic"
Ice Cube,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
Skrillex,"brostep, complextro, edm, electro, pop dance"
Miles Davis,"cool jazz, hard bop, jazz, jazz fusion, jazz trumpet, soul, vocal jazz"
The Decemberists,"baroque pop, canadian indie, chamber pop, indie rock, modern folk rock, stomp and holler"
Staind,"alternative metal, nu metal, post-grunge"
Taio Cruz,"dance pop, pop, pop rap"
Iggy Pop,"alternative rock, glam rock, permanent wave, protopunk, rock"
Fabolous,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
The Jackson 5,"motown, soul"
Wolfmother,"alternative rock, australian psych, garage rock, modern blues rock, modern rock, rock"
Metric,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
Eels,"alternative rock, chamber pop, melancholia"
Nat King Cole,"adult standards, lounge, soul, swing, vocal jazz"
Bonobo,"downtempo, electronica, indietronica, instrumental hip hop, jazztronica, nu jazz, trip hop"
George Michael,new wave pop
Yellowcard,"alternative metal, pop punk, post-grunge, socal pop punk"
Cyndi Lauper,"dance pop, new wave pop, permanent wave, soft rock"
Godsmack,"alternative metal, nu metal, post-grunge, rap metal"
Electric Light Orchestra,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock"
The Hives,"alternative rock, garage rock, garage rock revival, modern rock, rock, swedish garage rock, swedish hard rock, swedish indie rock"
Tears For Fears,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop"
Eurythmics,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap"
Cypress Hill,"chicano rap, gangster rap, hip hop, rap rock, west coast rap"
Hot Chip,"alternative dance, dance rock, electronica, indie rock, indietronica, neo-synthpop, new rave"
The Ting Tings,"alternative dance, dance-punk, electropop, neo-synthpop, new rave"
PJ Harvey,"alternative rock, art pop, melancholia, permanent wave, piano rock, singer-songwriter"
Kelly Rowland,"atl hip hop, dance pop, hip pop, r&b, urban contemporary"
Thievery Corporation,"downtempo, electronica, livetronica, trip hop"
Foals,"alternative dance, garage rock, indie rock, indietronica, modern alternative rock, modern rock, neo-synthpop, oxford indie, shimmer pop"
Zero 7,"downtempo, electronica, trip hop"
